task,representation,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,BalAcc_mean,BalAcc_std,MacroF1_mean,MacroF1_std,Recall_0_mean,Recall_0_std,Recall_1_mean,Recall_1_std,Precision_0_mean,Precision_0_std,Precision_1_mean,Precision_1_std
forward_citations_cat,FULL,LR,,,,,0.5855328431238916,1.1702778228589004e-16,0.5688651218244773,0.0,0.7240539942465147,0.0,0.34252702199030943,5.851389114294502e-17,0.7161304442985336,0.0,0.42369755647763946,0.0
forward_citations_cat,FULL,XGB,,,,,0.5982598911836874,0.001299391903854661,0.5784966611805462,0.0018368308194601022,0.8377517149811906,0.0027654593443697186,0.2560939247111443,0.004265761364451788,0.6883667064414579,0.0017123183687657272,0.4944191387872646,0.006631948624119043
forward_citations_cat,HYBRID,LR,,,,,0.5788512628242495,1.1702778228589004e-16,0.5598979148148839,1.1702778228589004e-16,0.7163089179021906,1.1702778228589004e-16,0.3302273574357063,0.0,0.7109598067208435,1.1702778228589004e-16,0.4195075757575758,5.851389114294502e-17
forward_citations_cat,HYBRID,XGB,,,,,0.5912848783255378,0.0028461577817182103,0.5746637314359536,0.002906525087359216,0.8381500331931843,0.0018194117982823174,0.25777115169586284,0.003254967900372788,0.6826845616564634,0.001061061790973012,0.4878089478719814,0.005557243735542644
forward_citations_cat,KG,LR,,,,,0.5772209805365114,0.0,0.5539590877693744,1.1702778228589004e-16,0.7853507413144502,0.0,0.2638837122623928,0.0,0.6934349355216882,1.1702778228589004e-16,0.4550128534704371,5.851389114294502e-17
forward_citations_cat,KG,XGB,,,,,0.5922831794179456,0.0019764441268486925,0.5756096349498282,0.002555393596562516,0.8510511175038726,0.001743827245394631,0.25031680954155794,0.005050282425927488,0.6822749521249032,0.0014426841074331545,0.4941516740568438,0.005183043541538525
forward_citations_cat,KG+META,LR,,,,,0.5876284463736967,0.0,0.5662499807546049,0.0,0.7884487718521795,1.1702778228589004e-16,0.2791651136787179,0.0,0.6995876693500883,0.0,0.4592274678111588,0.0
forward_citations_cat,KG+META,XGB,,,,,0.5989509557066027,0.00159514682635977,0.5796439014847423,0.0016552316742018543,0.8515600796636423,0.0020249152392740055,0.2508386134923593,0.0030735040071693306,0.6869586495006952,0.0013572272778078283,0.50864182425138,0.005551977017415964
forward_citations_cat,META,LR,,,,,0.40265349980004855,0.0,0.3400654958304359,0.0,0.9108209780924984,1.1702778228589004e-16,0.0,0.0,0.5370563674321504,0.0,0.0,0.0
forward_citations_cat,META,XGB,,,,,0.42882879937374135,0.0011847876411579567,0.3707762400173341,0.001672436468132453,0.8433945563177694,0.0032856264233704466,0.022251211330600075,0.002522083029435271,0.5568652148245639,0.0008218575721723458,0.3359040661840009,0.019863331931222833
