task,representation,model,seed,AUC,PR_AUC,BalAcc,Accuracy,F1,Precision_0,Recall_0,Precision_1,Recall_1,MacroF1,Precision_2,Recall_2
renewed_4y,TEXT,LR,8,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,8,0.5802395190064025,0.9075185657891429,0.5024144575872548,0.8872686483454851,0.9402319357716324,0.8333333333333334,0.004955401387512388,0.8873049724997194,0.9998735137869972,,,
renewed_4y,TEXT,LR,9,0.5570872769912678,0.9007504095953793,0.5059577012052168,0.8843522153673584,0.9385028332836266,0.30357142857142855,0.01684836471754212,0.8880234789479625,0.9950670376928915,,,
renewed_4y,TEXT,XGB,9,0.5906024253762683,0.9088127316476559,0.5029732408325074,0.8874929893438026,0.9403508771929825,1.0,0.005946481665014866,0.8874172185430463,1.0,,,
renewed_4y,HYBRID,LR,0,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,0,0.6182340844867731,0.9168633782179951,0.5018556743420022,0.8870443073471677,0.9401129943502825,0.6666666666666666,0.003964321110009911,0.8871927264563925,0.9997470275739945,,,
renewed_4y,HYBRID,LR,1,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,1,0.6264640873173565,0.9203984509788848,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,HYBRID,LR,2,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,2,0.6098736466664678,0.9140470748004631,0.5014866204162537,0.8871564778463265,0.9401831371149958,1.0,0.002973240832507433,0.8871184919210053,1.0,,,
renewed_4y,HYBRID,LR,3,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,3,0.6209791737755094,0.9173689105155323,0.502909997726006,0.8873808188446438,0.9402878553586297,0.8571428571428571,0.005946481665014866,0.8874045801526718,0.9998735137869972,,,
renewed_4y,HYBRID,LR,4,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
