task,representation,AUC_mean,AUC_std
renewed_4y,CITEONLY-stat,0.5014204063253634,0.0001887502479467411
renewed_4y,HETEROSTAT,0.5177220284326965,4.4977479840863664e-05
renewed_4y,KG-node2vec,0.6100235246806066,0.00422416646357916
is_triadic,CITEONLY-stat,0.5125974985147466,0.0028316317482474894
is_triadic,HETEROSTAT,0.499355501388408,0.0039656141554278365
is_triadic,KG-node2vec,0.7485580582676067,0.0014224987279174424
