task,temporal_AUC_mean,temporal_AUC_std,random_AUC_mean,random_AUC_std,leakage_inflation
renewed_4y,0.6100235246806066,0.00422416646357916,0.6762204262723543,0.011485685365970407,0.06619690159174774
is_triadic,0.7485580582676067,0.0014224987279174424,0.7590681673606856,0.0046061168746260915,0.010510109093078923
