task,representation,AUC_mean,AUC_std
renewed_4y,NETFEAT-only,0.5828544365571983,0.0015333470367251325
renewed_4y,KG-only,0.6100235246806066,0.00422416646357916
renewed_4y,KG+NETFEAT,0.6451993843919773,0.0036612293569590394
is_triadic,NETFEAT-only,0.631573071181891,0.0005260321751493468
is_triadic,KG-only,0.7485580582676067,0.0014224987279174424
is_triadic,KG+NETFEAT,0.7737752921244827,0.0009612827090451085
